fold,local_index,event_id,soh_bin,mileage,n_candidates_mileage,n_neighbors_available
0,818,1362,"(0.945, 0.95]",71313.0528,134,5
0,819,1363,"(0.945, 0.95]",71538.0864,133,5
0,820,1364,"(0.945, 0.95]",71891.8464,133,5
0,821,1365,"(0.945, 0.95]",72082.7712,133,5
0,822,1366,"(0.945, 0.95]",72250.04160000001,133,5
0,823,1367,"(0.945, 0.95]",72493.2384,133,5
0,824,1368,"(0.945, 0.95]",72669.5904,133,5
0,839,1419,"(0.945, 0.95]",30153.552,13,5
0,840,1420,"(0.945, 0.95]",30421.987200000003,13,5
0,841,1421,"(0.945, 0.95]",30609.4272,13,5
0,849,1431,"(0.945, 0.95]",33163.68,15,5
0,1038,1748,"(0.945, 0.95]",68087.0784,137,5
0,1040,1750,"(0.945, 0.95]",68417.6064,137,5
0,1042,1752,"(0.945, 0.95]",68771.47200000001,137,5
0,1065,1851,"(0.945, 0.95]",46814.064000000006,47,5
0,1105,1904,"(0.945, 0.95]",69622.60800000001,135,5
0,1110,1909,"(0.945, 0.95]",71634.39360000001,133,5
0,1115,1917,"(0.945, 0.95]",75752.0544,119,5
